厂名,注册资本,地址,产品,批准编号
江西海福特卫生用品有限公司,3,000万(元),江西省南昌市进贤县长山乡新居316国道旁,一次性使用口罩,赣械注准20162640029
江西浩恒医疗器械有限公司,208万(元),江西省南昌市进贤县李渡北工业园区,一次性使用口罩,赣械注准20152640144
江西格美医疗用品有限公司,200万(元),丰城市工业园,一次性使用口罩,赣械注准20192140280
江西格美医疗用品有限公司,200万(元),丰城市工业园,医用外科口罩,赣械注准20192140279
江西格兰斯医疗器械有限公司,1,118万(元),江西省南昌市进贤县医疗器械工业园区,医用外科口罩,赣械注准20202140040
江西格兰斯医疗器械有限公司,1,118万(元),江西省南昌市进贤县医疗器械工业园区,一次性使用医用口罩,赣械注准20202140041
江西恒邦医疗器械有限公司,200万(元),江西省南昌市进贤县长山乡316国道边180号,医用外科口罩,赣械注准20162640113
江西恒邦医疗器械有限公司,200万(元),江西省南昌市进贤县长山乡316国道边180号,一次性使用口罩,赣械注准20162640114
江西恒达医疗器械有限公司,1,000万(元),江西进贤长山工业园区,一次性使用口罩,赣械注准20192140228
江西康雅医疗用品有限公司,3,000万(元),江西省吉安市峡江县工业园区工业路五号,医用外科口罩,赣械注准20182640054
江西康雅医疗用品有限公司,3,000万(元),江西省吉安市峡江县工业园区工业五路,一次性使用医用口罩,赣械注准20182640053
江西岚湖医疗器械有限公司,518.8万(元),南昌市进贤县李长公路开发区,一次性使用口罩,赣械注准20182640110
江西宝泽医疗用品有限公司,5,000万(元),江西省宜春市宜丰县工业园,一次性医用口罩,赣械注准20202140052
江西安康医疗器械有限公司,800万(元),江西省南昌市进贤县李长路,医用外科口罩,赣械注准20192140293
江西大卫医疗器械有限公司,5,000万(元),西省进贤县白圩医疗器械工业园区,一次性使用口罩,赣械注准20162640118
江西大卫医疗器械有限公司,5,000万(元),江西省进贤县白圩医疗器械工业园区,一次性使用口罩帽子,赣械注准20162640119
江西唯美医疗器械有限公司,1,000万(元),江西省吉安市峡江县工业园区,一次性使用医用口罩,赣械注准20192140103
江西博美斯特医疗科技股份有限公司,3,000万(元),南昌小蓝经济开发区小蓝中大道452号,医用防护口罩,赣械注准20162640060
江西博美斯特医疗科技股份有限公司,3,000万(元),南昌小蓝经济开发区小蓝中大道452号,医用外科口罩,赣械注准20162640061
江西博美斯特医疗科技股份有限公司,3,000万(元),南昌小蓝经济开发区小蓝中大道452号,一次性使用口罩,赣械注准20162640062
江西华强医疗器械有限公司,5,000万(元),南昌市李渡工业园区,一次性使用口罩,赣械注准20192140150
江西华强医疗器械有限公司,5,000万(元),南昌市李渡工业园区,医用外科口罩,赣械注准20182640133
江西亿迪菲医疗器械有限公司,600万(元),江西省南昌市进贤县李渡镇桂桥村委会孺道理村88号,一次性使用医用口罩,赣械注准20202140066
江西丽华鑫朗药业科技有限公司,500万(元),江西省宜春市靖安县香田工业园,医用口罩,赣械注准20202140106
江西丽华鑫朗药业科技有限公司,500万(元),江西省宜春市靖安县香田工业园,医用外科口罩,赣械注准20202140105
江西丹美实业有限公司,1,000万(元),进贤县李长工业区,一次性使用医用口罩帽子,赣械注准20202140042
江西中赣医疗器械有限公司,400万(元),江西省南昌市进贤县李渡益康大道,一次性使用口罩,赣械注准20192140151
江西三鑫医疗科技股份有限公司,26,270.5万(元),江西省南昌县小蓝经济开发区富山大道999号,一次性使用医用口罩,赣械注准20202140068
江西三鑫医疗科技股份有限公司,26,270.5万(元),江西省南昌县小蓝经济开发区富山大道999号,一次性使用医用口罩,赣械注准20202140068
江西三鑫医疗科技股份有限公司,26,270.5万(元),江西省南昌县小蓝经济开发区富山大道999号,一次性使用医用口罩,赣械注准20202140068
江西三鑫医疗科技股份有限公司,26,270.5万(元),江西省南昌县小蓝经济开发区富山大道999号,一次性使用医用口罩,赣械注准20202140068
江西三鑫医疗科技股份有限公司,26,270.5万(元),江西省南昌县小蓝经济开发区富山大道999号,一次性使用医用口罩,赣械注准20202140068
江西三鑫医疗科技股份有限公司,26,270.5万(元),江西省南昌县小蓝经济开发区富山大道999号,一次性使用医用口罩,赣械注准20202140068
江西3L医用制品集团股份（柬埔寨）有限公司Jiangxi 3L Medical Products Group (Cambodia) Co., Ltd.,-,柬埔寨西哈努克经济特区(西哈努克省波雷诺县云壊乡司马旦村﹠莫德朗乡布腾村)Sihanoukville Special Economic Zone ( Phum Pou Thoeung, Sangkat Bet Trang & Phum Smach Deng, Sangkat Ream, Khan Prey Nob, Sihanoukville Cambodia,医用防护口罩Protective face mask for medical use,国械注进20192140598
江西3L医用制品集团股份柬埔寨有限公司Jiangxi 3L Medical Products Group (Cambodia) Co., Ltd,-,柬埔寨西哈努克经济特区Sihanoukville Special Economic Zone ( Phum Pou Thoeung, Sangkat Bet Trang & Phum Smach Deng, Sangkat Ream, Khan Prey Nob, Sihanoukville) Cambodia,医用外科口罩Surgical face mask,国械注进20182640097
江西3L医用制品集团股份柬埔寨有限公司Jiangxi 3L Medical Products Group (Cambodia) Co., Ltd,-,柬埔寨西哈努克经济特区Sihanoukville Special Economic Zone ( Phum Pou Thoeung, Sangkat Bet Trang & Phum Smach Deng, Sangkat Ream, Khan Prey Nob, Sihanoukville) Cambodia,一次性使用口罩Disposable face mask,国械注进20182640098
江西3L医用制品集团股份有限公司,8,049万(元),江西省高安市新世纪工业城高新技术区,一次性医用口罩,赣食药监械（准）字2014第2640020号
江西3L医用制品集团股份有限公司,8,049万(元),江西省南昌市新建县樵舍镇七里岗兴岗路3号,医用防护口罩,赣械注准20172640057
江西3L医用制品集团股份有限公司,8,049万(元),江西省高安市新世纪工业城高新技术区,一次性使用口罩,赣械注准20162640279
江西3L医用制品集团股份有限公司,8,049万(元),江西省高安市新世纪工业城高新技术区,医用外科口罩,赣械注准20162640285
江西3L医用制品集团股份有限公司,8,049万(元),江西省高安市新世纪工业城高新技术区,医用外科口罩帽子,赣械注准20172640019
江苏长城医疗器械有限公司,1,000万(元),扬州市广陵区头桥镇通达路298号7-,一次性使用医用口罩,苏械注准20202140071
江苏通恒医疗制品有限公司,2,000万(元),灌南县经济开发区福州路3号,一次性使用医用口罩,苏械注准20202140136
江苏荣业科技有限公司,1,008万(元),扬州市头桥镇,一次性使用医用口罩,苏械注准20162640251
江苏米沙瓦医疗用品有限公司,1,718万(元),铜山县柳新镇唐茅路66号,一次性使用医用口罩,苏械注准20172642355
江苏省永宁医疗器械有限公司,508万(元),扬州市头桥镇立新桥,一次性使用医用口罩,苏械注准20172641561
江苏省健尔康医用敷料有限公司,3,000万(元),江苏省常州市金坛区直溪镇工业集中区健尔康路1号,一次性使用医用口罩,苏械注准20172641066
江苏恒健医疗器械有限公司,500万(元),扬州市广陵区头桥镇同兴路18号,医用外科口罩,苏械注准20172640136
江苏恒健医疗器械有限公司,500万(元),扬州市广陵区头桥镇同兴路18号,一次性使用医用口罩,苏械注准20192140062
江苏得迪医疗器械有限公司,1,500万(元),苏州高新区浒墅关镇青花路26号8栋2楼南、3楼南,医用口罩,苏械注准20162641492
江苏得迪医疗器械有限公司,1,500万(元),苏州高新区浒墅关镇青花路26号8栋2楼南、3楼南,医用防护口罩,苏械注准20162641493
江苏康诺医疗器械股份有限公司,2,586万(元),江苏省常熟市古里镇白茆工业园红枫路11号，增福路2号5幢，增幅路2号1幢（1,3,4层）,一次性使用医用口罩,苏械注准应急20202140001
江苏康宝医疗器械有限公司,2,250万(元),宝应县安宜北路70号、宝应县射阳湖镇工业集中区湖滨路8号、宝应县苏中北路78号,一次性使用医用口罩,苏械注准20182141523
江苏康宝医疗器械有限公司,2,250万(元),宝应县安宜北路70号、宝应县射阳湖镇工业集中区湖滨路8号、宝应县苏中北路78号,一次性使用外科口罩,苏械注准20172640157
江苏康宝医疗器械有限公司,2,250万(元),宝应县安宜北路70号、宝应县射阳湖镇工业集中区湖滨路8号、宝应县苏中北路78号,一次性使用医用无纺布口罩,苏械注准20162641406
江苏康久安医疗器械有限公司,586万(元),扬州市广陵区头桥镇亚达路2号,一次性使用医用口罩,苏械注准20152641315
江苏广达医材集团有限公司,1,888万(美元),江苏省南通市海安县李堡镇包场北路18号,一次性使用医用口罩,苏械注准20172640912
江苏客乐医用器械有限公司,1,500万(元),扬州市广陵区头桥镇长宁路22号,一次性使用医用口罩,苏械注准20162640900
江苏奇力康皮肤药业有限公司,500万(元),苏州高新区泰山路668号,一次性医用口罩,苏械注准20152641380
江苏华东医疗器械实业有限公司,5,000万(元),扬州市广陵区头桥镇通达路88号,一次性医用口罩,苏械注准20162641063
江苏创铭医疗器械有限公司,2,500万(元),江苏武进经济开发区锦程路18号福隆产业园一号楼第二层厂房,医用防护口罩,苏械注准20162641255
江苏创铭医疗器械有限公司,2,500万(元),江苏武进经济开发区锦程路18号福隆产业园一号楼第二层厂房,一次性使用医用口罩,苏械注准20172640773
江苏创铭医疗器械有限公司,2,500万(元),江苏武进经济开发区锦程路18号福隆产业园一号楼第二层厂房,一次性使用医用外科口罩,苏械注准20162641254
汕头市澄海区健发卫生用品有限公司,52万(元),汕头市澄海区莲下镇槐南工业区,医用护理口罩,粤械注准20162640743
汕头市泰恩康医用器材厂有限公司,1,000万(元),汕头市龙湖区泰山北路万吉南二街8号厂房B幢四、五层,一次性使用医用口罩,粤械注准20162640663
汕头市泰恩康医用器材厂有限公司,1,000万(元),汕头市龙湖区泰山北路万吉南二街8号厂房B幢四、五层,一次性使用医用口罩,粤械注准20162640663（变更文件）
民康医疗科技（天津）有限公司,568.007万(元),天津开发区海云街80号17号厂房4层3-8号车间,医用外科口罩,津械注准20202140848
武汉翔裕卫生材料有限公司,1,000万(元),武汉市江夏区大桥新区环岭路3号,一次性使用医用口罩,鄂械注准20132641346
武汉市康来福科技有限公司,400万(元),武汉市东西湖区慈惠农场鱼门径大队（十三支沟西、汉丹铁路北）1栋2层1室（7）,医用外科口罩,鄂械注准20162642282
武汉市康来福科技有限公司,400万(元),武汉市东西湖区慈惠农场渔门径大队（十三支沟西、汉丹铁路北）1栋2层1室（7）,一次性使用医用口罩,鄂械注准20162642283
武汉市康寿医用材料有限公司,300万(元),武汉市汉南区汉南大道982号,一次性使用医用口罩,鄂械注准20142142071
武汉卫亲医疗科技有限公司,300万(元),-,医用防护口罩,鄂械注准20172642466
武汉卫亲医疗科技有限公司,300万(元),武汉市汉阳区永丰街彭家岭366号万通工业园5号楼5层,医用外科口罩,鄂械注准20172642448
武汉卫亲医疗科技有限公司,300万(元),-,一次性使用医用口罩,鄂械注准20172642447
武汉协卓卫生用品有限公司,1,000万(元),-,医用外科口罩,鄂械注准20162642252
武汉华鑫无纺布有限公司,60万(元),武汉市蔡甸区永安街万岭村,一次性使用医用口罩,鄂械注准20202142903
武汉华世达防护用品有限公司,1,000万(元),湖北省武汉市汉南区纱帽街薇湖路511号,医用外科口罩,鄂械注准20202142879
武汉华世达防护用品有限公司,1,000万(元),湖北省武汉市汉南区纱帽街薇湖路511号,医用防护口罩,鄂械注准20202142877
武汉华世达防护用品有限公司,1,000万(元),湖北省武汉市汉南区纱帽街薇湖路511号,一次性使用医用口罩,鄂械注准20202142863
武夷山捷安医疗器械制造有限公司,1,000万(元),武夷山生态创业园区仙安路,医用外科口罩(无菌型),闽械注准20202140122（临时）
武夷山捷安医疗器械制造有限公司,1,000万(元),武夷山生态创业园区仙安路,一次性使用医用口罩(无菌型),闽械注准20202140121（临时）
桐乡市崇福利民卫生用品厂,-,-,普通医用口罩,浙械注准20162640148
桂林市德诚医疗器械有限公司,100万(元),桂林经济技术开发区（苏桥镇）工业园区金桂北路2号（澳妍科技有限公司院内）,医用防护口罩,桂械注准20202140055
枝江奥美医疗用品有限公司,42,217.6938万(元),-,医用防护口罩,鄂械注准20162642409
杭州金利医疗用品有限公司,150万(元),杭州市江干区笕桥镇俞章村三组,一次性使用医用口罩,浙械注准20202141017
杭州豪悦护理用品股份有限公司,8,000万(元),杭州市余杭区瓶窑风都路3号,一次性使用医用口罩,浙械注准20202141012
杭州立山皮件有限公司,3,000万(元),浙江省桐庐县桐庐经济开发区,一次性使用医用口罩,浙械注准20202141080
杭州惠康医疗器械有限公司,518万(元),浙江省杭州市萧山区浦阳镇谢家村891号,医用外科口罩,浙械注准20202140064
杭州惠康医疗器械有限公司,518万(元),浙江省杭州市萧山区浦阳镇谢家村891号,普通医用口罩,浙械注准20182640261
杭州惠康医疗器械有限公司,518万(元),浙江省杭州市萧山区浦阳镇谢家村891号,医用防护口罩,浙械注准20152640686
杭州山友医疗器械有限公司,500万(元),浙江省杭州市萧山区楼塔镇管村村楼塔开发区138号,医用外科口罩,浙械注准20202141054
杭州山友医疗器械有限公司,500万(元),浙江省杭州市萧山区楼塔镇管村村楼塔开发区138号,一次性使用医用口罩,浙械注准20202141048
杭州可靠护理用品股份有限公司,20,389万(元),浙江省杭州市临安玲珑高新技术产业园海唐路8号,一次性使用医用口罩,浙械注准20202141074
杭州千芝雅卫生用品有限公司,21,888万(元),浙江省桐庐县桐庐经济开发区凤旺路88号,一次性使用医用口罩,浙械注准20202141013
本末创新（天津）医疗器械有限责任公司,1,600万(元),天津市滨海高新区（环外）海泰华科大街4号3幢fd311,一次性医用外科口罩,津械注准20202140822
曹县龙海医疗器械有限公司,108万(元),曹县（青岛）工业园区长江西路路北,医用外科口罩,鲁械注准20202140242
曹县华鲁卫生材料有限公司,1,008万(元),曹县青岛路南段,医用外科口罩（非无菌）,鲁械注准20202140195
晋江恒安家庭生活用纸有限公司,1,200万(美元),晋江市五里经济园区长安路6号、7号,医用外科口罩(无菌型和非无菌型),闽械注准20202140015（临时）
晋城市镇康医疗器械有限公司,500万(元),泽州县高都镇马沟村,一次性使用医用口罩,晋械注准20202140018
明尼苏达矿业制造医用器材（上海）有限公司,1,500万(美元),上海市徐汇区田林路222号,医用颗粒物防护口罩,沪械注准20182140299
明尼苏达矿业制造医用器材（上海）有限公司,1,500万(美元),上海市闵行区新骏环路35号,防雾护面医用外科口罩,沪械注准20172640651
昆明康业医疗器械有限公司,50万(元),昆明市富民工业园区东元生态品加工园东兴路10号,普通医用口罩,滇械注准20172640023
昆明康业医疗器械有限公司,50万(元),云南省昆明市富民县工业园区东元生态品加工园东兴路10号,医用外科口罩,滇械注准20192140071
昆明宝利康医疗卫生用品有限公司,50万(元),昆明市高新技术开发区科高路998号,医用外科口罩,滇械注准20202140008
昆明宝利康医疗卫生用品有限公司,50万(元),昆明市高新技术开发区科高路998号,普通医用口罩,滇械注准2015640027
昆明宝利康医疗卫生用品有限公司,50万(元),昆明市高新技术开发区科高路998号,普通医用口罩,滇械注准20152640027
昆明吉圣祥医疗器械有限公司,50万(元),昆明市富民工业园区东元生态食品加工园东兴路12号,普通医用口罩,滇械注准20172640017
昆明双龙卫生材料有限公司,112.62万(元),昆明市昆曲高速公路19公里处双龙服务区,普通医用口罩,滇械注准20162640007
昆山洁宏无纺布制品有限公司,2,644.5628万(元),昆山市淀山湖镇新乐路895号3#、4#厂房,一次性使用医用口罩,苏械注准20142140635
日照三奇医疗卫生用品有限公司,1,000万(元),山东省日照市东港区河山国际工业园（河山镇许家官庄村前）,医用口罩,鲁械注准20202140134
日照三奇医疗卫生用品有限公司,1,000万(元),山东省日照市东港区河山国际工业园（河山镇许家官庄村前）,医用防护口罩,鲁械注准20202140114
日照三奇医疗卫生用品有限公司,1,000万(元),日照市东港区河山国际工业园（河山镇许家官庄村前）,医用外科口罩,鲁械注准20172640005
无锡市恒通医药卫生用品有限公司,500万(元),无锡市新区硕放工业园新农路8号,一次性医用口罩,苏械注准20162640679
新疆金天山医疗器械有限公司,1,000万(元),新疆乌鲁木齐市高新技术产业开发区（新市区）正扬路167号,一次性使用医用口罩,新械注准20202140009
新疆金天山医疗器械有限公司,1,000万(元),新疆乌鲁木齐市高新技术产业开发区（新市区）正扬路167号,医用外科口罩,新械注准20202140008
新疆妙仁医疗用品有限公司,500万(元),新疆疏勒县南疆齐鲁工业园黄河西路1号,一次性使用医用口罩,新械注准20202140010
新疆乐贝尔贸易有限公司,500万(元),新疆乌鲁木齐市水磨沟区王家梁村百盛巷1栋,一次性医用口罩,新械注准20132640176
新疆乐贝尔贸易有限公司,500万(元),新疆乌鲁木齐市水磨沟区王家梁村百盛巷1栋,医用外科口罩,新械注准20132640177
新疆中驼医用品科技有限公司,2,000万(元),新疆哈密市伊吾县（新疆哈密伊吾县）盐池农产品加工园区内6号院,医用外科口罩,新械注准20202140007
新乡市金环医疗器械有限公司,1,600万(元),长垣县张三寨工业区,一次性使用医用口罩,豫械注准20172640444
新乡市金世康医疗器械有限公司,1,000万(元),长垣县后满村,一次性使用医用外科口罩,豫械注准20202140014
新乡市金世康医疗器械有限公司,1,000万(元),长垣县后满村,一次性使用无源菌口罩,豫械注准20172640508
新乡市荣军医疗器械有限公司,4,670万(元),长垣县老岸十字南路308省道东侧,医用口罩,豫械注准20172640642
新乡市荣军医疗器械有限公司,4,670万(元),长垣市老岸十字南路308省道东侧,医用外科口罩,豫械注准20202140696
新乡市畅达医疗器械有限公司,500万(元),长垣县丁栾镇东三公里,医用外科口罩,豫械注准20172640182
新乡市畅达医疗器械有限公司,500万(元),长垣县丁栾镇东三公里,医用防护口罩,豫械注准20172640181
新乡市畅达医疗器械有限公司,500万(元),长垣县丁栾镇东三公里,一次性使用口罩,豫械注准20172640375
新乡市强盛医疗器械有限公司,5,000万(元),长垣县丁栾镇关东,医用外科口罩,豫械注准20172640858
新乡市强盛医疗器械有限公司,5,000万(元),长垣县丁栾镇关东,一次性使用医用口罩,豫械注准20172640513
新乡市康贝尔医疗科技有限公司,1,000万(元),长垣县满村东工业区,医用外科口罩,豫械注准20162640259
新乡市康贝尔医疗科技有限公司,1,000万(元),长垣县满村东工业区,一次性使用医用口罩,豫械注准20162640221
新乡市康民卫材开发有限公司,5,800万(元),长垣县丁栾镇工业区,医用口罩,豫械注准20172640664
新乡市康民卫材开发有限公司,5,800万(元),长垣县丁栾镇工业区,医用口罩帽,豫械注准20172640192
新乡市康民卫材开发有限公司,5,800万(元),长垣县丁栾镇工业区,医用防护口罩,豫械注准20172640193
新乡市康民卫材开发有限公司,5,800万(元),长垣县丁栾镇工业区,医用外科口罩,豫械注准20172640133
新乡市宏达卫材有限公司,1,000万(元),-,医用外科口罩,豫械注准20152640596
新乡市宏达卫材有限公司,1,000万(元),长垣县丁栾镇,医用防护口罩,豫械注准20182140550
新乡市宏达卫材有限公司,1,000万(元),长垣县丁栾镇,医用外科口罩,豫械注准20192140663
新乡市宏达卫材有限公司,1,000万(元),河南省长垣县丁栾工业区,一次性使用无源菌医用口罩,豫械注准20172640720
新乡市好媚卫生用品有限公司,1,200万(元),-,医用外科口罩,豫械注准20152640022
新乡市好媚卫生用品有限公司,1,200万(元),长垣县丁栾镇关路西,医用外科口罩,豫械注准20192140110
新乡市好媚卫生用品有限公司,1,200万(元),长垣县丁栾镇关路西,一次性使用医用口罩,豫械注准20162640416
新乡市天虹医疗器械有限公司,500万(元),获嘉县照镜镇西彰仪,一次性使用医用口罩,豫械注准20172640674
新乡市大方医疗器械制造有限公司,1,000万(元),长垣县丁栾镇大方工业园区,医用口罩,豫械注准20172641028
新乡市大方医疗器械制造有限公司,1,000万(元),长垣县丁栾镇大方工业园区,医用外科口罩,豫械注准20172641026
新乡市大方医疗器械制造有限公司,1,000万(元),长垣县丁栾镇大方工业园区,医用防护口罩,豫械注准20172641027
新乡市和协医疗器械有限公司,3,000万(元),长垣县丁栾镇大方工业园区西2号,一次性使用医用口罩,豫械注准20172640230
新乡市华西卫材有限公司,11,800万(元),长垣县丁栾镇工业区,医用防护口罩,豫械注准20172640106
新乡市华西卫材有限公司,11,800万(元),长垣县丁栾镇工业区,医用外科口罩,豫械注准20172640107
新乡市华西卫材有限公司,11,800万(元),长垣县丁栾镇工业区,一次性使用医用口罩,豫械注准20172640105
新乡市华西卫材有限公司,11,800万(元),长垣县丁栾镇工业区,一次性无源菌口罩、帽,豫械注准20172640311
新乡市华舒医疗器械有限公司,1,880万(元),长垣县佘家开发区北段,一次性使用无菌医用口罩,豫械注准20162640492
新乡市华康卫材有限公司,900万(元),河南省长垣县丁栾镇开发区,医用外科口罩,豫械注准20172640586
新乡市华康卫材有限公司,900万(元),长垣县丁栾镇开发区,一次性使用医用口罩,豫械注准20172640407
新乡市医邦卫生材料有限公司,150万(元),原阳县靳堂乡供销合作社院内,医用外科口罩,豫械注准20202140073
新乡市医邦卫生材料有限公司,150万(元),原阳县靳堂乡供销合作社院内,一次性使用医用口罩,豫械注准20162640397
新乡市医用卫生材料厂,650万(元),获嘉县中和镇,一次性使用医用口罩,豫械注准20172640460
新乡市凤凰医疗器械有限公司,50万(元),长垣县城关镇东大街,一次性无菌口罩,豫械注准20182140901
新乡市中原卫生材料厂有限责任公司,1,116万(元),河南省新乡市长垣市满村工业区,医用外科口罩,豫械注准20202140695
新乡市中原卫生材料厂有限责任公司,1,116万(元),河南省新乡市长垣市满村工业区,一次性使用医用口罩,豫械注准20202140691
振德医疗用品股份有限公司,7,500万(元),-,医用防护口罩,浙械注准20172640093
振德医疗用品股份有限公司,7,500万(元),浙江省绍兴市皋埠镇皋马线皋北大桥以北,医用外科口罩,浙械注准20192140168
振德医疗用品股份有限公司,7,500万(元),-,一次性使用医用口罩,浙械注准20172640095
抚州仕鸿医疗科技有限公司,800万(元),江西省抚州市抚州高新技术产业开发区纵四路以东、纬三路以北（金比科技公司厂房）,一次性使用口罩帽子,赣械注准20182640004
扬州源康医疗器械有限公司,1,180万(元),扬州市头桥镇同心路,一次性使用医用口罩,苏械注准20162641197
扬州洋生医药科技有限公司,3,180万(元),扬州市头桥镇亚达路,一次性使用医用无纺布口罩,苏械注准20152141020
扬州洋生医药科技有限公司,3,180万(元),扬州市头桥镇亚达路,一次性使用医用无纺布口罩,苏械注准20152641020
扬州市金环医疗器械厂,-,扬州市头桥镇长宁路9号,一次性使用医用口罩,苏械注准20192140768
扬州市邗江东方医械厂,14万(元),头桥镇,一次性使用医用口罩,苏械注准20142140222
扬州市正誉医疗器械有限公司,500万(元),扬州市头桥镇红平村红十组12号,一次性使用医用口罩,苏械注准20162640737
扬州市正誉医疗器械有限公司,500万(元),扬州市头桥镇红平村,一次性使用医用外科口罩,苏械注准20192140121
扬州市晨胜医疗用品厂,-,广陵区头桥镇红桥工业园区,一次性使用医用口罩,苏械注准20162640293
扬州市唐荣医疗用品有限公司,580万(元),扬州市广陵区李典镇长生村安丰组,一次性使用无纺布医用口罩,苏械注准20142140093
扬州市华威医疗器械有限公司,2,000万(元),扬州市头桥镇工业园南华路1号,一次性使用医用口罩,苏械注准20182640602
扬州市华冠科技发展有限公司,5,000万(元),扬州邗江北洲工业园区,一次性使用医用口罩,苏械注准20162640122
扬州宇润科技发展有限公司,100万(元),扬州市头桥通达路西,一次性使用医用口罩,苏械注准20162640261
扬州华盛医疗科技有限公司,500万(元),扬州市头桥镇长宁路19号,一次性使用医用口罩,苏械注准20142140328
扬州佳运医疗器械有限公司,800万(元),扬州市头桥镇立新桥,一次性使用医用口罩,苏械注准20162641276
扬州亚申科技有限公司,51万(元),扬州市头桥镇新桥街11号,一次性使用医用口罩,苏械注准20162641130
成都稳健利康医疗用品有限公司,500万(元),-,医用口罩（非外科用）,川械注准20152640153
成都稳健利康医疗用品有限公司,500万(元),成都市武侯区金花镇江安河村金江北街188号,一次性使用医用外科口罩,川械注准20182640101
成都神农堂实业有限公司,50万(元),成都市温江区成都海峡两岸科技产业开发园海科路西段128号四川活态药业有限公司直服车间,医用外科口罩,川械注应急准20202140009
成都明森医疗器械有限责任公司,100万(元),成都市蒲江县鹤山镇工业五路36号,一次性使用医用外科口罩,川械注准20172640090
成都明森医疗器械有限责任公司,100万(元),成都市蒲江县鹤山镇工业五路36号,一次性使用无菌医用口罩,川械注准20162640058
成都康惠净科技有限公司,1,710万(元),成都市郫都区现代工业港港北六路106号,医用外科口罩,川械注应急准20202140008
成都康惠净科技有限公司,1,710万(元),成都市郫都区现代工业港港北六路106号,一次性使用医用口罩,川械注应急准20202140007
成都市新津事丰医疗器械有限公司,4,078.6832万(元),-,医用口罩,川械注准20172640221
成都市新津事丰医疗器械有限公司,4,078.6832万(元),成都市新津县新平镇万街村七组46号,医用防护口罩,川械注应急准20202140004
成都市新津事丰医疗器械有限公司,4,078.6832万(元),成都市新津县新平镇万街村七组46号,医用口罩帽子,川械注准20192140099
成都市新津事丰医疗器械有限公司,4,078.6832万(元),成都市新津县新平镇万街村七组46号,医用外科口罩,川械注准20152140045
成都市新津事丰医疗器械有限公司,4,078.6832万(元),-,医用外科口罩,川械注准20152640045
成都市卫生材料厂,400万(元),-,医用外科口罩,川械注准20162640108
成都市卫生材料厂,400万(元),成都经济技术开发区（老成渝公路14公里）,一次性使用医用口罩,川械注准20202140019
成都仁天医疗器械有限公司,1,000万(元),成都市新都工业东区君跃路169号金荷工业产业园2号研发车间第三层,医用外科口罩,川械注应急准20202140028
成都仁天医疗器械有限公司,1,000万(元),成都市新都工业东区君跃路169号金荷工业产业园2号研发车间第三层,一次性使用医用口罩,川械注应急准20202140027
恒天嘉华非织造有限公司,43,480万(元),仙桃市彭场镇仙彭公路西侧1号厂房幢,医用外科口罩,鄂械注准20202142905
恒天嘉华非织造有限公司,43,480万(元),仙桃市彭场镇仙彭公路西侧1号厂房幢,一次性使用医用口罩,鄂械注准20202142890
怡佳(福建)卫生用品有限公司,1,000万(元),福建省泉州市晋江市罗山街道社店社区东富路41号,一次性使用医用口罩(非无菌型),闽械注准20202140156（临时）
德惠市医疗卫生用品厂,-,德惠市德靠公路三公里,一次性医用口罩,吉械注准20192140163
德州康迪医疗用品有限公司,50万(元),德州市德城区天衢街道办事处萱蕙路19号,医用外科口罩,鲁械注准20162640456
德州康迪医疗用品有限公司,50万(元),德州市德城区天衢街道办事处萱蕙路19号,一次性使用医用口罩,鲁械注准20162640455
徐州贝德氏卫生用品有限公司,200万(元),徐州市铜山区柳新镇李庄工业园,医用普通口罩,苏械注准20172642260
徐州恒康卫生材料有限公司,500万(元),睢宁县经济开发区苏源路南,一次性使用医用口罩,苏械注准20182640944
徐州卫材卫生材料有限公司,500万(元),徐州市铜山区柳新镇唐茅路89号（1、2、3层）,一次性使用医用口罩,苏械注准20172641584
张家港市志益医材有限公司,500万(元),张家港市乐余镇常丰人民路88号,一次性使用医用口罩,苏械注准20192140130
弓立（厦门）医疗用品有限公司,561.6万(美元),厦门市同安工业集中区同安园139号厂房一至五层西侧,医用防护口罩,闽械注准20172640109
弓立（厦门）医疗用品有限公司,561.6万(美元),福建省厦门市同安区工业集中区同安园139号一至五层西侧,一次性使用医用口罩,闽械注准20162640117
弓立(厦门)医疗用品有限公司,561.6万(美元),厦门市同安区同安工业集中区(同安园)139号201、401、501室,一次性使用医用外科口罩(无菌型和非无菌型),闽械注准20202140025（临时）
建德市朝美日化有限公司,3,000万(元),浙江省建德市杨村桥镇上山村,医用外科口罩,浙械注准20202141063
建德市朝美日化有限公司,3,000万(元),浙江省建德市杨村桥镇上山村,医用防护口罩,浙械注准20142140103
建德市朝美日化有限公司,3,000万(元),浙江省建德市杨村桥镇上山村,医用普通口罩,浙械注准20142140104
延吉市金达莱医疗器械有限公司,100万(元),-,一次性使用医用口罩,吉械注准20152640222
廊坊智爱富食品有限公司,662万(美元),河北省廊坊经济技术开发区二号路11号,一次性使用医用口罩,冀械注准20202140142
廊坊开发区迎宝医疗用品有限公司,420万(元),-,医用防护口罩,冀械注准20152640033
廊坊康怡医疗器械有限公司,200万(元),河北省廊坊市大城县北桃子村,医用防护口罩,冀械注准20202140135
廊坊康怡医疗器械有限公司,200万(元),河北省廊坊市大城县北桃子村,一次性使用医用外科口罩,冀械注准20162640055
